attempt,success,complex idx,complex name,stoichiometry,note,ligand names,ligand stoichiometries,ligand charges,batch idx,batch name,metal,oxi state,spin,topology,similarity,total charge,optimization,isomers,random seed
68,False,,,C95H87N5O4Pd1,non-planar tridentate,"('unq_CSD-ZULZOY-03-a', 'unq_CSD-ZENCON-02-a', 'unq_CSD-FUCDOW-01-f')","('C76H62N3', 'C13H18N2O2', 'C6H7O2')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
69,False,,,C53H53Br4Cl1N4O3Pd1Si1,clashing ligands,"('unq_CSD-INOJIF-03-a', 'unq_CSD-KELKIW-02-a', 'unq_CSD-YEWCOV-01-a')","('C32H29N2O1', 'C6H1Br4O2', 'C15H23Cl1N2Si1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
70,False,,,C44H53N7O6Pd1,clashing ligands,"('unq_CSD-BOFPUJ-03-a', 'unq_CSD-AJILIO-02-a', 'unq_CSD-SEWPIV-01-b')","('C21H29N3O3', 'C10H10N3O1', 'C13H14N1O2')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
71,True,13.0,JICODORE,C43H37N8O6P1Pd1S1,optimized,"('unq_CSD-JURGUY-03-a', 'unq_CSD-TASREM-02-a', 'unq_CSD-MOHSAD-01-a')","('C22H22N4O2P1S1', 'C9H5N2O3', 'C12H10N2O1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
72,False,,,C29H28Cl1N7O5Pd1S1,non-planar tridentate,"('unq_CSD-WUYGIG-03-a', 'unq_CSD-YAGCUF-02-a', 'unq_CSD-JUPYOK-01-e')","('C7H9N5O2S1', 'C15H12Cl1N2O2', 'C7H7O1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
73,False,,,C48H46Cl1N6O2P1Pd1S1,clashing ligands,"('unq_CSD-HEDSAK-03-a', 'unq_CSD-NILWOW-02-a', 'unq_CSD-PEJHAO-01-a')","('C13H17N4S1', 'C13H12Cl1N2O2', 'C22H17P1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
74,False,,,C70H61Cl1N11O8P3Pd1,clashing ligands,"('unq_CSD-MAYFAV-03-a', 'unq_CSD-OHEWIJ-02-a', 'unq_CSD-JUZPUR-01-d')","('C45H35N6O6P3', 'C14H19N2O2', 'C11H7Cl1N3')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
75,False,,,C48H61N7O2Pd1S2,non-planar tridentate,"('unq_CSD-BAMTEP-03-a', 'unq_CSD-RAJVAA-02-a', 'unq_CSD-DADHIC-01-b')","('C27H33N3', 'C8H17N1S2', 'C13H11N3O2')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
76,False,,,C48H60As1F3N5O1P1Pd1S3,non-planar tridentate,"('unq_CSD-YOKTIE-03-a', 'unq_CSD-NUXNAV-02-a', 'unq_CSD-CUCPIC01-01-d')","('C16H20F3N5S2', 'C28H30As1P1', 'C4H10O1S1')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
77,False,,,C46H62N6O5Pd1,clashing ligands,"('unq_CSD-HORPOT-03-a', 'unq_CSD-RUDFUU-02-a', 'unq_CSD-VIQRIW-01-c')","('C19H33N2O2', 'C18H19N4O2', 'C9H10O1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
78,False,,,C52H52N2O2Pd1,non-planar tridentate,"('unq_CSD-VETGIK-03-a', 'unq_CSD-ZACXEK-02-a', 'unq_CSD-PADDUU-01-a')","('C8H11O1', 'C42H35N1O1', 'C2H6N1')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
79,False,,,C106H101B1F2N5O16P3Pd1,clashing ligands,"('unq_CSD-XUJTOO-03-a', 'unq_CSD-BEPCII-02-a', 'unq_CSD-PUMLEP-01-a')","('C9H8N5O1', 'C4H12B1F2O6P2', 'C93H81O9P1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
80,False,,,C40H67Cl1N5P1Pd1,clashing ligands,"('unq_CSD-PUCYOD-03-a', 'unq_CSD-TAJBUE-02-a', 'unq_CSD-KEVKUS-01-a')","('C19H35N2P1', 'C15H28N3', 'C6H4Cl1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
81,True,14.0,UVUGOYOV,C52H66F6N4O2Pd1,optimized,"('unq_CSD-VINHOQ-03-a', 'unq_CSD-WAKGAS-02-a', 'unq_CSD-PATQAC-01-d')","('C13H17N2O1', 'C17H10F6N1O1', 'C22H39N1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
82,False,,,C74H69N5O2Pd1,clashing ligands,"('unq_CSD-VOPQUN-03-a', 'unq_CSD-VOZROT-02-b', 'unq_CSD-IPOFOL-01-a')","('C24H25N3O1', 'C41H37N2', 'C9H7O1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
83,False,,,C73H63N6O2P3Pd1S1,clashing ligands,"('unq_CSD-LILBOY-03-a', 'unq_CSD-RIBXEI-02-a', 'unq_CSD-POHTEL-01-a')","('C13H11N4S1', 'C40H34N2O2P2', 'C20H18P1')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
84,True,15.0,NOZUREBE,C32H40N6O3Pd1,optimized,"('unq_CSD-KITYIV-03-a', 'unq_CSD-HEZDUL-02-a', 'unq_CSD-WOLWAV-01-d')","('C16H15N2O1', 'C12H14N3O2', 'C4H11N1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
85,True,16.0,ENOTETIT,C46H42N8O2Pd1,optimized,"('unq_CSD-CIMNES-03-a', 'unq_CSD-BUZQEV-02-a', 'unq_CSD-CIJWAW-01-a')","('C22H23N3', 'C15H13N2', 'C9H6N3O2')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
86,False,,,C60H52Cl4N5O3P5Pd1S1,clashing ligands,"('unq_CSD-MABLOT-03-a', 'unq_CSD-HIXRAI-02-b', 'unq_CSD-LIJREB-01-a')","('C28H23N1O1P1S1', 'C14H14N1O2', 'C18H15Cl4N3P4')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
87,True,17.0,ASOKUVIW,C31H29N7O2Pd1S3,optimized,"('unq_CSD-LULMUA-03-a', 'unq_CSD-UYULUW-02-a', 'unq_CSD-YOCYAR-01-a')","('C19H15N3', 'C7H5N1O2S3', 'C5H9N3')","(0.0, -2.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
88,True,18.0,XIPEDIJI,C39H39Br1N4O3P2Pd1,optimized,"('unq_CSD-NUMJIO-03-a', 'unq_CSD-FUDSED-02-a', 'unq_CSD-LUTHUG-01-b')","('C9H8Br1N2O2', 'C27H28O1P2', 'C3H3N2')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
89,False,,,C49H59Br1N4O2Pd1S1,clashing ligands,"('unq_CSD-GAFBUN-03-a', 'unq_CSD-CIJRAR-02-a', 'unq_CSD-COTTOW-01-c')","('C18H19Br1N1O1S1', 'C24H34N1O1', 'C7H6N2')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
90,False,,,C41H37N11O2Pd1,clashing ligands,"('unq_CSD-ECOPAO-03-a', 'unq_CSD-WELDUO-02-a', 'unq_CSD-XOQCAI-01-b')","('C12H9N4O2', 'C14H14N5', 'C15H14N2')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
91,False,,,C59H68N10O4Pd1S2,clashing ligands,"('unq_CSD-VEGKIC-03-a', 'unq_CSD-GOFXAA-02-a', 'unq_CSD-ZOMRIE-01-b')","('C15H8N2O2S2', 'C34H52N2O2', 'C10H8N6')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
92,False,,,C69H41F28N6O6P1Pd1S2,clashing ligands,"('unq_CSD-EVOQEO-03-a', 'unq_CSD-NUPWUS-02-a', 'unq_CSD-IYALAW-01-c')","('C31H31N3O6S1', 'C18H10F4P1S1', 'C20F24N3')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
93,True,19.0,ISUZIBAZ,C51H58Cl1N3O11P2Pd1S1Sn1,optimized,"('unq_CSD-MEHHUF-03-a', 'unq_CSD-TECSOK-02-a', 'unq_CSD-GIJMAP-01-a')","('C20H13N2O1', 'C9H6N1O4S1', 'C22H39Cl1O6P2Sn1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
94,False,,,C80H71N7O3P2Pd1S4Se2,clashing ligands,"('unq_CSD-NIMJOL-03-a', 'unq_CSD-VOFCEZ-02-a', 'unq_CSD-USOZUA-01-b')","('C30H30N2P2Se2', 'C31H24N2O1S4', 'C19H17N3O2')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
95,True,20.0,UHONIZOP,C42H41N9O4Pd1S1,optimized,"('unq_CSD-OGIMOG-03-a', 'unq_CSD-DINXEF-02-a', 'unq_CSD-LOKNIK-01-a')","('C6H11N3O2S1', 'C23H18N5O1', 'C13H12N1O1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
96,False,,,C46H45N7O2Pd1,clashing ligands,"('unq_CSD-CEXJOH-03-a', 'unq_CSD-GAPMIT-02-a', 'unq_CSD-RIRJUX-01-a')","('C18H20N5O1', 'C11H8N1O1', 'C17H17N1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
97,True,21.0,LUSUVESA,C27H32N8O4Pd1S2,optimized,"('unq_CSD-XACGIR-03-a', 'unq_CSD-PELGIX-02-a', 'unq_CSD-WUWPUA-01-a')","('C8H11N6O3', 'C4H5N2S1', 'C15H16O1S1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
98,False,,,C80H66N3P1Pd1S2Se1Te1,clashing ligands,"('unq_CSD-KOPYAS-03-a', 'unq_CSD-SIDDEQ-02-a', 'unq_CSD-MIVXOE-01-b')","('C18H21N1S2', 'C44H30N2Te1', 'C18H15P1Se1')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
99,False,,,C59H51Cl2N9O2Pd1S1,clashing ligands,"('unq_CSD-HEKWON-03-a', 'unq_CSD-BOFPOD-02-a', 'unq_CSD-TURJAS-01-d')","('C23H18N5', 'C16H21Cl2N2O1S1', 'C20H12N2O1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
100,False,,,C34H44N8O6Pd1,clashing ligands,"('unq_CSD-ZIYLAW-03-a', 'unq_CSD-HOBKEP-02-a', 'unq_CSD-LUKSOZ-01-b')","('C11H14N3O3', 'C17H21N2', 'C6H9N3O3')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
101,True,22.0,CONAGIVA,C52H60Cl1N7O2Pd1,optimized,"('unq_CSD-FUSFIL-03-a', 'unq_CSD-BUZCOP-02-a', 'unq_CSD-LASMUO-01-c')","('C14H15N3', 'C12H13Cl1N1O1', 'C26H32N3O1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
102,False,,,C35H39N7O3Pd1,non-planar tridentate,"('unq_CSD-WOLHAI-03-a', 'unq_CSD-SOWKOE-02-a', 'unq_CSD-CMADPT-01-d')","('C18H23N2O1', 'C11H8O2', 'C6H8N5')","(-1.0, -2.0, 1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
103,False,,,C25H30Br2N8O1Pd1S4,clashing ligands,"('unq_CSD-FIBJOQ-03-a', 'unq_CSD-TAFTIG-02-a', 'unq_CSD-FIPWIM-01-a')","('C13H13Br2N3', 'C6H12N1O1S2', 'C6H5N4S2')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
104,False,,,C66H59N7O1Pd1,clashing ligands,"('unq_CSD-SEZWEB-03-a', 'unq_CSD-NAZRAI-02-a', 'unq_CSD-TUFBEE-01-a')","('C30H31N2O1', 'C21H14N1', 'C15H14N4')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
105,False,,,C57H53Cl1N9O3P1Pd1S1,clashing ligands,"('unq_CSD-CUJVUZ-03-a', 'unq_CSD-BERBIM-02-a', 'unq_CSD-GASLUK-01-a')","('C22H18Cl1N4', 'C19H14N5S1', 'C16H21O3P1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
106,False,,,C53H39Br1N5O2P1Pd1S2,clashing ligands,"('unq_CSD-PUHKOS-03-a', 'unq_CSD-OMAJAP-02-a', 'unq_CSD-PSTZNB10-01-a')","('C19H11N3', 'C22H18Br1N2O2', 'C12H10P1S2')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
107,False,,,C45H46As1N4O1P1Pd1S3,clashing ligands,"('unq_CSD-BIQMOF-03-a', 'unq_CSD-YITTUQ-02-a', 'unq_CSD-WIKBUP-01-a')","('C13H11N2O1S1', 'C15H16N1P1S2', 'C17H19As1N1')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
108,False,,,C83H101F4N5O3P2Pd1S1,clashing ligands,"('unq_CSD-TOLHEJ-03-a', 'unq_CSD-ELELAI-02-a', 'unq_CSD-ARALIR-01-d')","('C10H11N3O2S1', 'C29H31N2P1', 'C44H59F4O1P1')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
109,False,,,C66H39F20N3O2P2Pd1,clashing ligands,"('unq_CSD-YAXHUB-03-a', 'unq_CSD-EZOGIK-02-a', 'unq_CSD-WISQIB-01-c')","('C32H7F20P2', 'C19H20N1O1', 'C15H12N2O1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
110,False,,,C43H46N7O2P1Pd1S2,clashing ligands,"('unq_CSD-HEDSAK-03-a', 'unq_CSD-GOXNOW-02-a', 'unq_CSD-JUGROV-01-b')","('C13H17N4S1', 'C19H16O2P1', 'C11H13N3S1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
111,False,,,C44H66N6O4P2Pd1,clashing ligands,"('unq_CSD-WIJQOW-03-a', 'unq_CSD-MESACO-02-a', 'unq_CSD-BIKRET-01-b')","('C26H45N6P2', 'C7H4O2', 'C11H17O2')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
112,False,,,C46H52N8Pd1S2,clashing ligands,"('unq_CSD-ACOSAP-03-a', 'unq_CSD-VISDOT-02-a', 'unq_CSD-HIJMIZ-01-b')","('C27H33N2', 'C9H9N2S1', 'C10H10N4S1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
113,False,,,C70H80N8Pd1,clashing ligands,"('unq_CSD-GITMOL-03-a', 'unq_CSD-MUDMAA-02-a', 'unq_CSD-ZILVAU-01-d')","('C16H17N4', 'C9H7N2', 'C45H56N2')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
114,False,,,C44H57N7O4Pd1S2,non-planar tridentate,"('unq_CSD-XEBZAG-03-a', 'unq_CSD-IDIGUA-02-a', 'unq_CSD-PITKUA-01-a')","('C19H30N2S2', 'C25H27N2', 'N3O4')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
115,False,,,C35H32Cl1N5O3Pd1Te2,broken bonds,"('unq_CSD-ZITBEL-03-a', 'unq_CSD-YODCID-02-a', 'unq_CSD-BUKYEN-01-a')","('C18H14N2O2', 'C6H10Te2', 'C11H8Cl1N3O1')","(0.0, -2.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
116,False,,,C60H57N7O4Pd1,clashing ligands,"('unq_CSD-REPYOD-03-a', 'unq_CSD-LUDXUG-02-a', 'unq_CSD-AZABOS-01-a')","('C21H14N3O3', 'C13H13N2O1', 'C26H30N2')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
117,False,,,C46H54F1N4P1Pd1S1Se1,non-planar tridentate,"('unq_CSD-GIZPOW-03-a', 'unq_CSD-VETBEC-02-a', 'unq_CSD-NOQFEH-01-c')","('C23H29N2', 'C5H10N1S1Se1', 'C18H15F1N1P1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
118,False,,,C79H70N3O4P1Pd1Si1,clashing ligands,"('unq_CSD-KIJKAQ-03-a', 'unq_CSD-RADNOA-02-a', 'unq_CSD-SONKEL-01-c')","('C36H31N2', 'C14H13O2Si1', 'C29H26N1O2P1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
119,False,,,C55H57N9O6Pd1S2,clashing ligands,"('unq_CSD-OHELOD-03-a', 'unq_CSD-FELPER-02-a', 'unq_CSD-VUTSIO-01-c')","('C31H30N6O5S2', 'C14H14N2O1', 'C10H13N1')","(0.0, 0.0, -2.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
120,False,,,C50H58N5O4P1Pd1Si3,clashing ligands,"('unq_CSD-UBOXOB-03-a', 'unq_CSD-OKANET-02-c', 'unq_CSD-QECGEK-01-a')","('C18H13N1O2', 'C22H16N4O1', 'C10H29O1P1Si3')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
121,True,23.0,WUVAFEQI,C38H57I1N4O5Pd1S1,optimized,"('unq_CSD-XAYBAB-03-a', 'unq_CSD-BIYPUV-02-a', 'unq_CSD-RALXAD-01-c')","('C16H32N2O3', 'C16H20N1O2S1', 'C6H5I1N1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
122,True,24.0,ROSOKUDO,C28H37N7O1Pd1S2,optimized,"('unq_CSD-TARWEQ-03-a', 'unq_CSD-FAFBIY-02-a', 'unq_CSD-UPAVOZ-01-a')","('C11H15N2S1', 'C10H14N3O1', 'C7H8N2S1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
123,False,,,C23H29Cl2N3O6Pd1,non-planar tridentate,"('unq_CSD-MATQOQ-03-a', 'unq_CSD-RUQHOC-02-a', 'unq_CSD-PIKKUQ-01-a')","('C10H11N2O4', 'C12H16N1O2', 'C1H2Cl2')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
124,True,25.0,ACIBUTUK,C34H34N10O1Pd1,optimized,"('unq_CSD-PALZOS-03-a', 'unq_CSD-BEWRED-02-a', 'unq_CSD-SIZVON-01-a')","('C15H15N5O1', 'C15H13N3', 'C4H6N2')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
125,False,,,C59H49N5O18Pd1S1,clashing ligands,"('unq_CSD-CUQVOA-03-a', 'unq_CSD-AZIWUC-02-a', 'unq_CSD-EMERIY-01-a')","('C27H28N1O14', 'C23H14N4O1', 'C9H7O3S1')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
126,False,,,C36H42Cl1N7O4Pd1,non-planar tridentate,"('unq_CSD-DEJXUM-03-a', 'unq_CSD-ALULEB-02-a', 'unq_CSD-KUYXAF-01-a')","('C17H19N1O2', 'C14H12Cl1N3O2', 'C5H11N3')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
127,True,26.0,GEMAXOHE,C59H47N5O1Pd1Si1,optimized,"('unq_CSD-PUDNUY-03-a', 'unq_CSD-UBUNOY-02-a', 'unq_CSD-SIDNIE-01-a')","('C38H27N2O1Si1', 'C11H11N3', 'C10H9')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
128,False,,,C68H76Cl1N4O4P3Pd1S1Si2,clashing ligands,"('unq_CSD-BIFVOE-03-a', 'unq_CSD-GUBPID-02-a', 'unq_CSD-PERJOM-01-b')","('C14H11N2O2', 'C29H43Cl1N1P2Si2', 'C25H22N1O2P1S1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
129,False,,,C50H82Cl2N9O2P3Pd1Si2,clashing ligands,"('unq_CSD-KAWCIV-03-a', 'unq_CSD-POYJOD-02-a', 'unq_CSD-RIXDOR-01-a')","('C26H53N6P2Si2', 'C19H18N3O2', 'C5H11Cl2P1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
130,False,,,C33H60O8P6Pd1S2,non-planar tridentate,"('unq_CSD-WIBGAP-03-b', 'unq_CSD-XECHOF-02-a', 'unq_CSD-NIYMOY-01-b')","('C6H11O6', 'C7H13O2S2', 'C20H36P6')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
131,True,27.0,XUWEZABE,C47H53Cl2N7O2Pd1S1,optimized,"('unq_CSD-PESFUP-03-a', 'unq_CSD-YIVZUZ-02-a', 'unq_CSD-MASWOU-01-a')","('C12H15Cl2N2O1', 'C21H25N2', 'C14H13N3O1S1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
132,True,28.0,AWAGUJOG,C58H50N6O3Pd1,optimized,"('unq_CSD-SUYHUR-03-a', 'unq_CSD-BIKSOG-02-a', 'unq_CSD-PITVUL-01-a')","('C17H13N2O2', 'C16H12N3O1', 'C25H25N1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
133,False,,,C60H66Al1Cl1N10O7Pd1,clashing ligands,"('unq_CSD-ITOJUZ-03-a', 'unq_CSD-TOQDAF-02-a', 'unq_CSD-QENNUT-01-b')","('C35H35N7', 'C16H22Al1Cl1N1', 'C9H9N2O7')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
134,False,,,C35H36N5O1P1Pd1S3,non-planar tridentate,"('unq_CSD-MEDDEF-03-a', 'unq_CSD-COYLAD10-02-a', 'unq_CSD-TOMZON-01-a')","('C19H15P1S3', 'C7H9N3O1', 'C9H12N2')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
135,False,,,C42H38N4O3P2Pd1S4,clashing ligands,"('unq_CSD-DUCNUL-03-a', 'unq_CSD-PUDNEI-02-c', 'unq_CSD-PAMDUE-01-c')","('C11H15N2O1S2', 'C24H16N1P2S2', 'C7H7N1O2')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
